# Generated from Radheef (radheef.siyamex.com) by scripts/build_definitions.py — do not edit by hand.
ހަ	(ނ) ހަދޯނި
ސަޑުބަނުން	ހަވާގައި ސަޑު ހަރުކުރުން
ސަޒާ	(2) ނުބައި ކަމަކަށް ލިބޭ ބަދަލު
ސަޒާދިނުން	އަދަބު ދިނުން
ސަޒާލިބުން	(3) ވޭން ލިބުން
ސަޓަނި	މިއަށް ތަފާތު ބާވަތް ބާވަތުގެ އެއްޗިހި ލައިގެން ތަފާތު ސަޓަނި ހަދައި އުޅެއެވެ
ސަޓައިންބޭރު	މަޖާޒު: ޖަމާޢަތުން ބޭރު
ސަޓަޔަށްމުއްޓަށްދިއުން	މަޖާޒު: އެއްޗެހި ތަކެއް އެގޮތް މިގޮތަށް ބަހައި ހުސްވުން
ސަޓާ	ވަތްތައް ފުޅާކޮށް ވިޔެފައި ހުންނަ ސާންތި
ސަޓާބޯޓު	މިއީ ރަދުން އެ އުޅަނދު ފަސްދެއްވައި ވަޑައިގަތީމާ ރޯކޮށްލާ އެއްޗެކެވެ
ސަޓާޖެހުން	ސަޓާހަރުކުރުން
ސަޔަށްރިހުން	މަޖާޒު: ބަލިވެ އިންނަމީހާ ވިހެއުމުގެ ދުވަސްވަރު ކައިރިވެގެން އަންނައިރު ވިހެއުމުގެ ރަނގަޅު ރިހުމަކަށް ނުވެ އޭނާގެ ބަނޑުގައިރިއްސާ ރިއްސުން
ސަޔާހި	(3) އަށްޑިހަ ހައެއް
ސަޔާނަވައި	(69) (2) ފަންސަޔާނަވައި އާއި ސަތާނަވައިއާ ދެމެދުގެ ޢަދަދު
ސަޔާޅީސް	(3) ސާޅީސް ހައެއް
ސަޕުލައި	މިސާލު: ރިސޯޓުގެ ސަޕުލައި
ސަޕުލައިކުރުން	(2) ވަކި ބާވަތެއްގެ މުދާ ޢާންމުކޮށް ދޫކުރުން
ސަޕުލިމެންޓު	ނޫހަކާއެކު ނުވަތަ މަޖައްލާ އަކާ އެކު ނިކުންނަ ވަކި މުނާސަބަތަކާ ގުޅޭ ޚާއްޞަ ޞަފްޙާތައް ނުވަތަ ޚާއްޞަ ނަމްބަރު
ސަޕޯޓާ	(މަލިކު) ފޮނިދުނބުރި
ސަޕޯޓު	ތާއީދު
ސަޖިދަ	ދެއަތްތިލަ ޖައްސައިގެން އޮވެ ނިތްކުރި ބިންމަތީ ޖައްސާ ޖެއްސުން
ސަޖިދަކުރުން	ދެ ކަކުލާއި ދެއަތްތިލަ ޖައްސައިގެން އޮވެ ނިތްކުރި ބިންމަތީ ޖެއްސުން
ސަޖިދަވަޅު	ޤުރުއާން ކިޔަވާއިރު އެހިސާބަކަށް ކިޔެވުނީމާ ސަޖިދަ ކުރުން ސުންނަތް ވެގެންވާ ތަންތަން
ސަޖިދަޖެހުން	(2) މަޖާޒު: މީހަކަށް އަޅުވެތިވުން
ސަޤާފަތް	(2) އިންސާނުން ދިރއުޅޭގޮތް
ސަޠުޙު	މިސާލު: ބިމުގެ ސަޠުޙު
ސާހިބާ	(2) މާތްމީހާ
ސާހިބު	(2) މާތްމީހާ
ސާނިޔާ	ދަގީގެއްގެ ފަސްދޮޅަސް ބައިކުޅަ އެއްބައި
ސާންތި	މި ވިޔެފައި ހުންނަނީ ތޮށަލީގެ ދުޅަ ހުންނަގޮތަށް އެއްވަތުމަތިން އަނެއްވަތު ދަށަށްވާ ގޮތަށެވެ
ސާރި	މިސާލު: ދުއިދުއި ސާރި
ސާރިމަތީފަލީ	ދިހަފަލި ހުންނަ ދޯނިފަހަރުގެ ދިރުނބާކޮޅުން ތިންވަނަ ފަލި
ސާރިދޯޅު	މިއީ މިނިކާ ޖަނަވާރެކެވެ
ސާރުދޯރު	(މަލިކު) ސާރިދޯޅު
ސާބަހަށް	(2) ހިލޭ
ސާބަސް	(2) މަލާމާތުގެ ގޮތުން ބޭނުންކުރާ ނުރުހުން ފާޅުކުރުމުގެ ބަހެއް
ސާބަސްދިނުން	ހިތްވަރުދިނުމުގެ ގޮތުން ވާހަކަދެއްކުން
ސާބިތު	(2) ހެއްކާއެކު ބަޔާންވެ އެނގޭ އެނގުން
ސާބިތުކަން	ޔަޤީންކަން
ސާބިތުކުރުން	(2) ހެއްކާއެކު ބަޔާންގެ އެނގޭނެގޮތް ހެދުން
ސާބިތުވުން	(2) ޝަރީޢަތަށް ނުވަތަ ތަޙުޤީޤަށް ހެތްކާއެކު ކަމެއް ބަޔާންވުން
ސާބިތުވެހުރުން	(2) ހަރުދަނާ ކަންމަތީ ހުރުން
ސާބިތުދަރަނި	ޝަރީޢަތުން ލައްވައިފައިވާ ދަރަނި
ސާބިތެ	) ސާބިތު
ސާބުން	) ސައިބޯނި
ސާޅަނގަ	ގާފަދަ ތަކެތި ދުރަށް އުކަންގެންގުޅޭ އެއްޗެއް
ސާޅި	އަންހެނުން ގައިނިވާ ކުރުމަށް ބޭނުންކުރާ ތުނި ދިގު ފޮތިގަނޑެއް
ސާޅީހަށްހިނައިގަތުން	ނިފާސްކަމުގެ ލެއި ކެނޑުމުން އެކަމަށްޓަކައި ހިނަންޖެހޭ ހިނެއިން ހިނައިގަތުން
ސާޅީހަށްފެންއެޅުން	ސާޅީހަށް ހިނައިގަތުން
ސާޅީސް	(2) ދިހައެއްގެ ހަތަރުބާރު
ސާޅީސްވަޅި	އިހުގައި މީހުން ވިހައިގެން އުޅޭއިރު ސާޅީސްވަންދެން ގެންގުޅޭ ވަޅިއެއް
ސާޅީސްވުން	މީހަކު މަރުވެގެން ސާޅީސްދުވަސް ހަމަވުން
ސާއިރަ	) އުޑު
ސާއިރު	) ރާގުފުމޭ އޮނު
ސާއްބަ	ޒުވާން
ސާއްތަ	(2) ގަޑި
ސާވޭ	ކަންހުރި ނެތްގޮތާއި ޙާލާތު ހުރި ނެތްގޮތް ރަނގަޅަށް ބެލުމަށް މީހުން ގޮސްގެން ހޯދައި ބަލާބެލުން
ސާވޭކުރުން	ކަންހުރިނެތް ގޮތާއި ޙާލާތު ހުރިނެތްގޮތް ރަނގަޅަށް ބެލުމަށް މީހުންގޮސް ހޯދައި ބެލުން
ސާމަރާ	މިޔަރާއި ބޮޑެތި މަސް މަހުގެ ބޮލުގައި ޖަހައި ބަލިކޮށްލަން މަސްދޯނިފަހަރުގައި ގެންގުޅޭ ލަކުޑި މުގުރު
ސާމަރާކުރުން	މާކެޔޮޅުކަން ކުރާއިރު މިޔަރުމެރުމަށް ބޮލުގައި ޖަހަން ގެންގުޅޭ ކަނދުބުރިން ޖެހުން
ސާމަރާކޮޅު	މިއީ ރަސްރަސްކަލުން ދަރުބާރުގައި ތިއްބަވާއިރު ގައިކޮޅަށް ވިހެން ބޭނުންކުރާ އެއްޗެކެވެ
ސާމަރާދޫނި	(2) ނިމެރި ދޫނި
ސާމާނު	(2) އެކަމަކާ ގުޅޭ ހުރިހާ އެއްޗެހި
ސާމުރާނީ	) ދުންސާމަރާނި
ސާމޯރި	) ދައްސޫރަ
ސާމޯރު	މިއީ ރިޔާ ނަގަން ހަންޖާ ލައްވަން ހަދައިފައި ހުންނަ އެއްޗެކެވެ
ސާމްރާޖީ	(2) ސާމްރާޖަށް ތާއީދުކުރާ
ސާމްރާޖު	(2) އެއްދައުލަތެއްގެ ދަށުގައި އެހެނިހެން ދައުލަތްތަކެއް ބޭއްވުމުގެ ސިޔާސަތު
ސާފު	(4) އޮޅުމެއްނެތް
ސާފުނުކުރާތެޔޮ	ސާފުކޮށްގެން ތެލުގެ އެކި ވައްތަރުތައް ވަކިނުކޮށް ތެޔޮވަޅުން ނަގާގޮތަށް ހުންނަތެޔޮ
ސާފުކަން	(3) އަލިކަން
ސާފުކުރުން	(3) ދޮވުން
ސާފުކޮށްލުން	(2) ހުސްކޮށްލުން
ސާފުވުން	(3) ޝައްކުތައް ފިލުން
ސާފުމަށިތެޔޮ	ކަރާސީނުތެޔޮ
ސާފުމޮހޮރާ	ބޮޑުމިނަކީ ގާތްގަނޑަކަށް ބައި އިންޗިއެވެ
ސާފުފެން	އެހެން އެއްޗަކާއި އެކުވެފައި ނުވާ ތާހިރުފެން
ސާފުތާހިރުކަން	(2) ކުނިމިލައެއް ނެތްކަން
ސާފުތާހިރުވުން	ތާހިރުވުން މިދެބަސް އެއްކޮށް ބުނާގޮތް
ސާފުތެޔޮ	(2) ކަރާސީނުތެޔޮ
ސާފުސީދާގޮތް	ފިތުރަތުގެ އެންމެ ރަނގަޅުގޮތް
ސާފުޓު	އިންޖީނާ ބުރަފައްޗާ ގުޅުވައިދޭ ދަގަނޑު
ސާފޫރުއަލަ	ހުންނަނީ ދަނބުފާޑު ކުލައެއްގައެވެ
ސާދަ	(4) (2) ތޭރައާއި ފަނަރައާ ދެމެދުގައި އޮންނަ ޢަދަދު
ސާދަލައްބައިގެ ކޮޅުގައި	މަޖާޒު: ވެރިޔަކާ ގާތްކަމެއް ނެތްކަން ދޭހަކޮށްދިނުމަށް ބުނެއުޅޭ ބަހެއް
ސާދާ	(5) އޮޅުމެއްނެތް
ސާދާގަރު	(2) ވިޔަފާރިވެރިޔާ
ސާދާޖުމުލަ	ހަމަ އެކަނި އިސްބަޔާއި ޚަބަރުގެ މައްޗަށް އެކުލެވިފައިވާ ޖުމުލަ
ސާލާމިސުރީ	މިއީ ބޭހަށް ބޭނުންކުރާ އެއްޗެކެވެ
ސާލު	މީގައި ފަށުވިން މާޖަހައި ވަށައިގެން ކުރެހުންތައް އަޅައިފައި ހުރެއެވެ
ސާލުފައްޓު	މިއީ އަންހެނުން އަންނަ އެއްޗެކެވެ
ސާގު	މީގައި ބޮނޑިބަތާއި ފަނިފަދަ އެއްޗެހި ކައްކައެވެ
ސާގުދަލިޔާ	ބަކަރިކިރު އަޅައިގެން ސާގުގައި ކައްކާ އެއްޗެއް
ސާގުދާނާ	ސާގުން ކައްކާ ޒަންޖަބީލު ފާޑު އެއްޗެއް
ސާސްކަފު	) ހާސްއަހަރު
ސާސްކަފުރަދާނަ	(2) އެންމެން ކުރެން އިސްމީހާ
ސާސްތުރަ	) ހާސް
ސާސްތުރަވަތް	) މިރާއްޖެ
ސާޑި	(މަލިކު) އަތްދުތް ލައިފައި ހުންނަ ހުދުފޮށައެއް
ސާޓަނު	އެއްފުށަށް އޮފު އަރާގޮތަށް ހުންނަ ފޮއްޗެއް
ސާޔަން	އެއްޗެއްގެ އަސްލު ފޮރުވޭގޮތަށް އެ އެއްޗެއްގެ ބޭރުން ތުނިކޮށް ދުއްވާ ނުވަތަ ލާ މަޢުދަނީ ފަށަލަ
ސާޔަންލުން	ނުވަތަ ލުން
ސާޔާކޮޅު	ރަސްރަސްކަލުން އެތެރެއިން ތުރުކުރައްވާ ހެދުންކޮޅެއް
ސާޖަންޓު	މިއީ ކޯޕްރަލަށްވުރެ މަތިނަމަވެސް ސްޓާފު ސާޖެންޓަކަށްވުރެ ދަށް މަޤާމެކެވެ
ސާޢަތްފުޅި	(2) ޓަފުފުޅި
ސިހިގެން ދިއުން	ސިއްސައިގެން ދިއުން
ސިހިސިހިހުރުން	(2) ހިތަށްބިރުވަދެ ހުރުން
ސިހުން	ކުއްލިއަކަށް ބިރު ހިތަށް ވަނުމުން ވާގޮތް
ސިހުންއެރުން	(2) ސިހުންވުން
ސިހުންވުން	(2) ބިރު ހިތަށް ވަނުން
ސިހުރު	(2) މަޖާޒު: ހިތްދަމައިގަތުމުގެ ބާރު
ސިހުރުހާހޫރަ	މީހުންނަށް ގެއްލުން ދިނުމަށް ހަދާ ފަންޑިތަ
ސިހުރުހެދުން	ސިހުރުކުރުން
ސިހުރުބާތިލް	ސިހުރުގެ ބާރު ކެނޑުވުމަށް ހަދާ ފަންޑިތަ
ސިނގު	(2) އަވަހަށް ރުޅިއަންނަ
ސިނގުރުޅި	ކަމަކަށް ނުވާކަހަލަ ކުދިކުދި ކަންތަކާ މާ އަވަހަށް އަންނަރުޅި
ސިނގުބަނޑު	(2) މަޖާޒު: ފައިސާގެ އަގު ދަށްވެ ޚިދުމަތާއި މުދަލުގެ އަގު މައްޗަށްދާ ދިއުން
ސިނގުކަން	(2) ކަމަކަށް ނުވާކަހަލަ ކުދިކުދި ކަންތަކާ އަވަހަށް ރުޅި އަންނަކަން
ސިނގުވުން	މޭކަށިތައް ނުކުމެފައި ބަނޑުބޮޑުވެފައި ފައިހިމަވެފައި ހުރުން
ސިނައަސްދޫނި	ދިވެހި އަސްދޫންޏަށްވުރެ ބޮޑެތި އަސްދޫންޏެއް
ސިނަމާ	ބައިސްކޯފު ދައްކާގެ
ސިނަފަތް	މިފަތް ހުންނާނީ ކުދި ދުންފަތަށް ވުރެ ހިމަދިގުކޮށެވެ
ސިނޯހުދަތުރު	) ޓަފުނަނާއި ސަމުގާގެ ބޭނުން ކޮށްގެންކުރާ ދަތުރު
ސިންކު	މީގެ އެއްކޮޅު ހުންނާނީ ތަށިފަދަ ތަކެތި ބެހެއްޓޭގޮތަށެވެ
ސިންދައޯގަ	މަސްވެރިކަމަށް ރަނގަޅުކަމަށް ނަކަތްތެރިން ބުނާ ވަގުތެއް
ސިންދާ	) ގުނަ
ސިންދިތާ	) ލޯބި
ސިންގަ	މިރާހިކަލަންޑަރުގެ ގޮތުން ދިމާވަނީ ތޭވީސް އޯގަސްޓުން ބާވީސް ސެޕްޓެމްބަރާ ދެމެދަށެވެ
ސިންގަޅަ	ސިންގަޅައިންނަށް ނިސްބަތްވާ
ސިންގަޅައިން	(2) މާދަރީބަހަކަށް ސިންގަޅަ ބަސް ބޭނުންކުރާ މީހުން
ސިންގަލްމެޗް	ޓެނިހާއި ބެޑްމިންޓަން ފަދަ ކުޅިވަރުގައި ކޮންމެ ކޮޅެއްގައި އެކަކު ހުރެގެން ކުޅޭ މެޗު
ސިންގަލްފޮތި	މެދުން ފަތް ނުޖަހައި އޮޅައިފައި ހުންނަފޮތި
ސިންގާ	ހައިބަތު ހުރި
ސިންގާސަނާ	ރަސްކަމުގެ ތަޚުތު
ސިންޖާލުމޮހޮރު	ރާއްޖޭގައި ތަޅާ ބޮޑެތި ދަގަނޑު މޮހޮރެއް
ސިރާއޮޑުން	) ސީރާއެޅުން
ސިރިންޖު	ސިރިންޖުގެ އެތެރޭގައިވާ ބޭސް ހަށިގަނޑުގެ ތެރެއަށް ފޮނުވައިލަނީ މިކަށީގެ ތެރެއިންނެވެ
ސިރިބިން	) ކުޅަދާނަ
ސިރިވަންސަނައޯގަ	(2) ހެޔޮއިރުވަރެއްގެ ނަން
ސިރިމަތަ	) ތާހިރުކަން ބޮޑު
ސިރީ	(4) ބަސްގަދަ
ސިރީހިވެދަރުނައަބާރުނަ	) ހެދުނުހައި މީހުންކުރެ މާތް އަބާރަނައެއް ފަދަމީހާ
ސިރީނަލަވަރުންދާނަ	) ދުނިޔޭ އުޅުން ހެއުމީހާ
ސިރީނާކަރައިރަސުންދުރަބޮވަނަ	) ދުނިޔެއަށް ހިޔައު އަލާ ވިލާގަނޑެއް ފަދަ މީހާ
ސިރީނިފެނަންއުއްދަނަރެހެންދި	) އަންހެނުންކުރެ ގުނަވަންތައް ރިވެތި މީހާ
ސިރީރަނެސްނަވަރަންނަބޮވަނަ	) ގިނަކަމަށް ކެރޭ މާތްމީހާ
ސިރީރަންނަވަލޯކައަބާރުނަ	) ދުނިޔެއަށް މިންނެތް މާތްމީހާ
ސިރީރަންނަވަލޯކަމަހާ	) ގިނަކަންކަމަށް ކެރޭ މާތްރަސްގެ
ސިރީރަންކައަބާރުނަދޭހަ	) ދުނިޔެއިން ފިސާރި މާތްމީހާ
ސިރީރޯހައިސްފަކައްތިރިބޮވަނަ	) ދުނިޔެއިން ދެބަސްނެތް ގިނަކަމަށް ކެރޭމީހާ
ސިރީބަރިކުޝަލޯކަމަހާ	) ވަރަޢަވެރިކަން ލިބިގެންވާ ރަސްގެފާނު
ސިރީބޮވަނަލަދަވަރަދާނަ	) ދުނިޔެއިން ރިވެތި މާތްކަން ލިބިގެންވާ
ސިރީކަލަވުނައަބާރުނަދޭހަ	) ދުނިޔެއިން މާތް ރިވެތި މީހާ
ސިރީކިމެރާދީއްތަދޭހަ	) ދުނިޔެއިން ހިތްފަހި ގަދަމީހާ
ސިރީކުލަސުންދުރަ	) ކީރިތި ބަސްގަދަ މާތްކަން ލިބިގެންވާ ވަންހަވެރި ރިވެތި ހެއުމީހާ
ސިރީއަސަންނަވަރަންނަތަންތުރަމަހާ	) އެފަދަމާތް އަނެކަކު ނެތް ރަސްގެ
ސިރީއަސަންކަނަވަރަވަރާދީއްތަ	) އެންމެހައި މުދަލަށް ކެރޭ މީހާ
ސިރީއިސްދަނައަބާރުނަ	) ދުނިޔެއަށް ހަތެއްފަދަ މާތްމީހާ
ސިރީވަރުނައަބާންނަ	) އަލިމަސް އަބާރަނައެއްފަދަ ރިވެތި މީހާ
ސިރީވަރުޑަރާދީއްތަބޮވަނަ	) ދުނިޔެ މީހުންކުރެ ގަދަމީހާ
ސިރީވަލަކުސަ	(2) ހިތްފަހިކަން
ސިރީވަލަކުސައަބާރުނަބޮވަނަ	) ދުނިޔެއަށް މާތްކަން ފެތުރިގެންވާ މީހާ
ސިރީމާތުރުމަބޮވަނަސިންދަ	) ދުނިޔެއިން ދަރުމަވަންތަ ތެދުވެރިޔާ
ސިރީމާތުރުމަބޮވަނަސިއްދަ	(2) ރިވެތި ތެދުވެރި ހެޔޮމީހާ
ސިރީމާތޮރުބޮވަނަސިއްދަ	) ދުނިޔެއިން ތެދުވެރި ހެއުމީހާ
ސިރީމިނިސިކަލޯކަ	) ދުނިޔެއަށް ޅަދޮނޅު ރީތިގަހެއްފަދަ މީހާ
ސިރީމިދެނަމަދިނާދީއްތަބޮވަނަ	) ދުނިޔެ ހެދުނުހައި މީހުންކުރެ ގަދަ ރިވެތި މީހާ
ސިރީމުތައިރެސްލޯބަ	) ދުނިޔެއިން އެސްމުތްފަދަމީހާ
ސިރީމެފެއަންފިޔާދީއްތަ	) އަންހެނުންކުރެ ގަދަމީހާ
ސިރީފަގަކަށަޅައަބާރުނަ	) ގަދަމާތްކަން މިލްކުކޮށްގެންވާ މީހާ
ސިރީފުރަމިންރާނައަބާރުނަ	) ކަށަވަރުން ނަންމާތް މީިހާ
ސިރީފުރަސޫރަދައިރުބޮވަނަ	ދުނިޔެއަށް އިރުފަދަ މީހާ
ސިރީފެނައުއްދަނަބޮވަނަ	) ދުނިޔެއިން ގުނަވަންތަ މީހާ
ސިރީދަންމަރާދީއްތަބޮވަނަ	) ދުނިޔެއަށް ރަންތަރިއެއްފަދަ ސާހިބާ
ސިރީދަކަރައަބާދީއްތަ	) ގަދަޜީހުންކުރެ ގަދަކަންމަތީ އިންނަމީހާ
ސިރީދަކައާބަސަންދުރާދީއްތަ	) ދުނިޔެއިން ގަދަ ޖިންނިއެއް ފަދަމީހާ
ސިރީދައިރަބޮވަނަ	) ދުނިޔެއަށް އިރުފަދަ މީހާ
ސިރީދަފުނާދީއްތަސުއްދަ	) މީހުންކުރެ ދުލުބަހަށް ކެރޭމީހާ
ސިރީދަގަށަޅައަބާރުނަ	) ގަދަކަމާއި މާތްކަން އެހެންމީހަކަށް ނުދިންމީހާ
ސިރީދަގަކައަބަސަންދުރަދީއްތަ	އަލި ހަނދެއްފަދަ މީހާ
ސިރީދުނުފުރާދީއްތަބޮވަނަ	) ދުނިޔޭގެ ފިރިހެނުންކުރެ ގަދަމީހާ
ސިރީތިރުނައަބާރުނަބޮވަނަ	) ފިރިހެނުންކުރެ މާތްމީހާ
ސިރީތިސްކަރާދީއްތަބޮވަނަ	) ނަންވާހައިތާ ތިބި ގަދަމީހުންކުރެ ގަދަ މީހާ
ސިރީތުރަވުނައަބާރުނަރެހެންދި	) ހަތްރީތި އެކުލެވިގެންވާ އަންހެނާ
ސިރީތުރަފޫހަޅަތަންތުރަވަރުނައަބާރަނަ	) އަލިމަސް އަބާރަނަ އެއްފަދަ ރިވެތި މީހާ
ސިރީތުރަފޫހާޅަތަންތުރަ	) ދުނިޔައިން ގަދަ ސިޔާސަމީހާ
ސިރީތުރަފޫހާޅަސަންދުރަ	ދުނިޔެއިން ސިއާސަ ގަދަމީހާ
ސިރީސަނދައިރަބޮވަނަމަހަ	) ދުނިޔެއަށް އަލި ހަނދެއްފަދަ މީހާ
ސިރީސުއްދަކަވަރާދީއްތަ	) ސަމާސާވެރި މާތްމީހާ
ސިރީޖިގެސްކަރާދީއްތަބޮވަނަ	) ހިލަންވާހައި ތަނަށް ގަދަމީހާ
ސިރު	އިންސާނުންގެ ބޯ
ސިރުވަލު	ފަތިސް ފޮތިގަނޑުގެ ގޮޅިއެއް
ސިރުތަ	) ފަކުރު
ސިބިބި	މަލާމާތުގެ ގޮތުން އަނގައިން ލައްވާ އަޑުއަޑު
ސިބިބިއެރުވުން	ސިބިބި ލެއްވުން
ސިބިބިލެއްވުން	މަލާމާތުގެ ގޮތުން އަނގައިން އަޑު ލެއްވުން
ސިކަން	(2) ތެލި ބަހައްޓަން ވާ ޖަހައިގެން އެލުވައިފައި ހުންނަ ދުރަން
ސިކަންދަރު	(2) ބެރު ވާންކުރުމަށްޓަކައި ޓިނބުލީގެ ބަދަލުގައި ނަނުން ފުރާފުރުމެއް
ސިކަންތިދަނޑި	މީގައި ހުންނާނީ ކުލަކުލައިގެ ވަރަނގު ކަރުދާސް ހިއްޕައިފައެވެ
ސިކަންޖަބީނު	ރާހުތާއި މާމުއި އަޅައިގެން ތައްޔާރުކުރާ ޝަރުބަތެއް
ސިކަލަ	) ސިކަލު
ސިކަލު	ދެވައިރުގުޅަން ވައިރުގެ ކޮޅުގައި ހަދައިފައި ހުންނަބައި
ސިކާރަ	(2) އެއްޗަކަށް އެއްޗެހި އަޅައި ފުރޭފުރުން
ސިކާރަބަރާސް	ފުރިގެން ބަންޑުންވާވުން
ސިކާރަކުރުން	(2) އެއްގަމު ކެޔޮޅުކަން ކުރުން
ސިކާރަވުން	(2) ތަނަކަށް ބަޔަކުވަދެ ފުރުން
ސިކާރަވެރިން	(2) އެއްގަމުކެޔޮޅުން
ސިކާރަމަތީކުއްތާ	އެއްގަމުގެ ކެއުޅުކަމުގައި ގެންގުޅޭ ކުއްތާ
ސިކާރަޔަށްދިއުން	އެއްގަމު ކެއުޅުކަމު ދިއުން
ސިކި	) ދިޔާއެއްޗެހީގެ ތިކި
ސިކިންކިލާސް	) ދެވަނަ ދަރަޖަ
ސިކިސްތާން	މާލިމީން ނިޔަމިކަމުގެ ގޮތުން އަޅަންގެންގުޅޭ ފިލާ
ސިކުނޑި	ހަށިގަނޑުގެ ހުރިހައި ބައެއް ކޮންޓްރޯލްކޮށް ހިންގައިދޭ ގުނަވަން
ސިކުނޑިބަދަން	މިބަދަން ހުންނަނީ ސިކުނޑިއަކާ ވައްތަރު ގޮތަކަށެވެ
ސިކުން	ސިކުދީނުގެ މީހުން
ސިކުންތު	މިނެޓެއްގެ ފަސްދޮޅަސް ބައިކުޅަ އެއްބައި
ސިކުންތުކަށި	ގަޑީގައި ހުންނަ ސިކުންތު އަންގައިދޭ ކަށި
ސިއަ	(2) ގުނުމުގައި ނުވަދިހަ ހައެއް ހަމަވީމާ ކިޔާގޮތް
ސިއަމަލު	) މަރު
ސިއާކަސާސްތުރަ	) ކަންތަކަށް ކުޅަދާނަ މީހާ
ސިއާސަކަން	) ގަދަފަދަ ކަމާއި އާރާއި ބާރު ހުރިކަން
ސިއްރިޔާތު	ސިއްރުސިއްރުން
ސިއްރު	(3) މަޖާޒު: ފޮރުވިފައިވާ ޙަޤީޤަތް
ސިއްރުން	(2) މީހުންނަށް ނޭގޭގޮތަށް
ސިއްރުބުނުން	އެހެން މީހުނަށް ނީވޭގޮތަށް ވާހަކައެއް ބުނުން
ސިއްރުކަންތައް	މަޖާޒު: ވައްކަން
ސިއްރުކުރުން	ވަންހަނާ ކުރުން
ސިއްރުވުން	ވަންހަނާވުން
ސިއްރުވެރި	އަނެކެއްގެ ހުރިހައި ޙަޤީޤަތެއް އެނގޭ އެކުވެރި
ސިއްރުވެރިން	ތިމާގެ ހުރިހައި ޙަޤީޤަތްތަކެއް އެނގޭ އެކުވެރި ރަޙުމަތްތެރިން
ސިއްރުފުލުހުން	ވަންހަނާވެ ތިބެގެން ކަންތައް ހޯދައިބަލާ ފުލުހުން
ސިއްރުސިއްރުން	(2) ސިއްރު މިބަސް ގަދަކޮށްލުމަށް ބުނާ ގޮތް
ސިއްބި	) ފެންފޯއްދޫނި
ސިއްބުދޫނި	) ފެންފޯއްދޫނި
ސިއްކަ	) ދާދިކުޑަ
ސިއްކަޖެހުން	(3) ލާރިޖެހުން
ސިއްދަތުރަބޮވަނައިސްފާޅަ	) ދުނިޔެއަށް ހަތެއްފަދަ މީހާ
ސިއްތާ	) ލޯބި
ސިއްތި	އަންހެނުންނަށް ކިޔާނަމެއް
ސިއްލަންކޮޅު	ދުރުހިސާބު
ސިއްލަރު	(މަލިކު) ވަކިލާރި
ސިއްލަވާރި	(2) ގަހާއިން ފެށިގެން ސޯޅަވަނަ މިޞްރާބު
ސިއްލި	ގަހާއިން ފެށިގެން 51 ވަނަ މިސްރާބު
ސިއްލުރުޅި	ކަމަކަށް ނުވާކަހަލަ ކަންތައްތަކުގައި ކުއްލިއަކަށް އަންނަރުޅި
ސިއްސައިލުން	(2) ސިހިގެންދާގޮތް ހެދުން
ސިއްސައިގެންދިއުން	ސިހިގެން ދިއުން
ސިއްސުން	ސިހޭގޮތްވުން
ސިއްސުވައިލުން	(2) ކުއްލިއަކަށް ޖެހިލުންވާގޮތް ވުން
ސިމަންރަރަ	) ކަނޑޫކަކުނި
ސިމާގު	ސަމުގާގެ ހަވަނަ މިޞްރާބު
ސިމިންޓު	) ސިމެންތި
ސިމިސިމިލެއްވުން	އަނެކަކަށް އަޑުނީވޭ ވަރަށް އެއްޗެއް ކިޔުން
ސިމެންތި	(2) ވެއްޔާއި ސިމެންތިއާ އެއްކޮށް ފެންއަޅައި ގަށައިފައި ހުންނައެތި
ސިމެންތިފިލާ	ސިމެންތިއާއި ކިސަޑާއި އެއްކޮށްގެން އުފައްދާ ފިލައެއް
ސިމެންތިޓިނު	ސިމެންތިއާއި ކިސަޑާ އެއްކޮށްގެން އުފައްދާ ޓިނެއް
ސިމެންތިޖެހުން	ރާނައިފައި ހުންނަ ތަންތާގައި ހަނދިން ސިމެންތި ތަތްކޮށް އެއްވަރުކޮށް އޮމާން ކުރުން
ސިފަ	(3) ސޫރަ
ސިފަބަދަލުކުރުން	ނުވަތަ އެހެން ސިފައެއް ޖެއްސުން
ސިފަކިއުން	(2) ހުރިގޮތް ބުނެދިނުން
ސިފަކުރުން	(2) ސިފަގެނައުން
ސިފަކޮށްދިނުން	ސިފަކުރުން
ސިފައައުން	(2) ސޫރަވުން
ސިފައިން	(3) ހަނގުރާމަ ވެރިން
ސިފަވުން	ސޫރަވުން
ސިފަދެއްކުން	އެއްޗެއްގެ ސޫރަދެއްކުން
ސިފަގަނޑު	(3) ފާޑުގަނޑު
ސިފަގެނައުން	ސިފަޖެއްސުން
ސިފަގެއްލުން	ހުންނަންވީ ސިފަނެތުން
ސިފަޖެހުން	ސިފައައުން
ސިފަޖެއްސުން	ސިފައެއްގޮތް ކުރުން
ސިފްޓަރު	މިއީ އަނގަކުޑަކޮށް ބޮޑުކޮށް ހެދޭގޮތަށް ހުންނަ އެއްޗެކެވެ
ސިދުރަތުލްމުންތަހާއަށް ހިތްއެރުން	މަޖާޒު: ތިމާޔާ އެކަށީގެން ނުވާ ފެންވަރަކަށް ހިތް ފޯރުވައިގެން އުޅޭމީހުންނާ މެދު ބުނެއުޅޭ ބަހެއް
